folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0160313919,1,01,1,4,1,,2,,,,,,,,,6,2,2,0,2,2,0,0, , ,0, , ,450000, ,2, , , , , , , , ,22000,03, ,,2, , , , , , , , , ,2,4,0,0,0,200000,0,0,0,48913.04,0,48911.08
0160313919,1,01,1,5,1,1,1,,2,,,,,,,,0, , , , , , , , , , , ,220000,750000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,1888000,3840,0,935000,461739.13,939.13,0,228668.47,234007.82,0
0160313920,1,01,1,4,1,,1,,2,,,,,,,,1,1,0,1,1,0,0, , ,0, , ,204000, ,2, , , , , , , , , ,, ,,1,2013,4,12000, , , , , , ,2,4,0,968,0,17000,0,236.73,0,4157.6,0,3920.86
0160313920,1,01,1,5,1,1,1,,2,,,,,,,,0, , , , , , , , , , , ,100000, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,689280,320,0,288600,168573.91,78.26,0,70581.52,98068.69,0
0160313921,1,01,1,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,48000,10000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,84120,7560,0,39700,20572.82,1848.91,0,9709.23,12710.54,0
0160313924,1,01,1,5,1,1,1,,2,,,,,,,,0, , , , , , , , , , , ,515000,88200,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,2166600,0,0,1109200,529874.99,0,0,271271.73,258601.3,0
0160314019,1,01,1,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,50000,40000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,125440,0,0,102000,30678.26,0,0,24945.65,5731.63,0
0160314022,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,172000,0,0,0,42065.21,0,42064.23
0160314511,1,01,1,4,1,,1,,2,,,,,,,,2,2,0,2,2,0,0, , ,0, , , ,194400,1, , , , , , ,90000, , ,, ,,2, , , , , , , , , ,2,3,60000,0,0,316900,14673.91,0,0,77502.71,0,62827.82
0160314511,1,01,1,5,1,1,1,,2,,,,,,,,1,0,1,0, , ,1,0,1,0, , ,45500,3000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,103328,10452,0,23400,25270.43,2556.19,0,5722.82,22101.84,0
0160314815,1,02,2,5,1,2,1,,2,,,,,,,,0, , , , , , , , , , , ,1500,23000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,37430,3675,0,67990,9204.09,903.68,0,16718.85,0,6609.83
