folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0160318813,1,01,1,4,B00,9900
0160318813,1,01,1,4,B02,3100
0160318813,1,01,1,4,B06,2000
0160319305,1,01,1,4,B11,1050
0160319305,1,01,1,4,B00,29850
0160319305,1,01,1,4,B09,9600
0160319305,1,01,1,4,B02,4200
0160319305,1,01,1,4,B10,5000
0160319305,1,01,1,4,B06,10000
0160320206,1,01,1,5,C07,4000
0160320206,1,01,1,5,C00,4000
0160320206,1,01,1,4,B00,4000
0160320206,1,01,1,4,B06,4000
0160320410,1,01,2,4,B00,82940
0160320410,1,01,2,4,B01,9000
0160320410,1,01,2,4,B02,700
0160320410,1,01,2,4,B03,6000
0160320410,1,01,2,4,B06,6000
0160320410,1,01,2,4,B07,43000
0160320410,1,01,2,4,B09,9240
0160320410,1,01,2,4,B10,9000
0160321303,1,02,1,5,C06,6000
0160321303,1,02,1,5,C00,17000
0160321303,1,02,1,5,C08,11000
0160321306,1,02,1,4,B00,186080
0160321306,1,02,1,4,B02,94080
0160321306,1,02,1,4,B09,42000
0160321306,1,02,1,4,B10,8000
0160321306,1,02,1,4,B15,42000
0160321507,1,01,1,5,C07,27000
0160321507,1,01,1,5,C08,9240
0160321507,1,01,1,5,C00,36240
0160321507,1,01,1,4,B15,6240
0160321507,1,01,1,4,B07,2400
0160321507,1,01,1,4,B06,972
0160321507,1,01,1,4,B02,5250
0160321507,1,01,1,4,B00,14862
0160322201,1,03,2,5,C00,5550
0160322201,1,03,2,5,C08,5550
0160322206,1,01,2,4,B00,3200
0160322206,1,01,2,4,B02,3000
0160322206,1,01,2,4,B03,200
0160322407,1,01,2,4,B02,6000
0160322407,1,01,2,4,B07,1900
0160322407,1,01,2,5,C10,4600
0160322407,1,01,2,5,C06,4800
0160322407,1,01,2,5,C00,9400
0160322407,1,01,2,4,B00,7900
0160322409,1,03,1,4,B06,12000
0160322409,1,03,1,4,B07,3200
0160322409,1,03,1,4,B10,2400
0160322409,1,03,1,4,B11,1400
0160322409,1,03,1,4,B15,54000
0160322409,1,03,1,4,B00,77200
0160322409,1,03,1,4,B02,2700
0160322409,1,03,1,4,B04,1500
0160322409,1,03,1,5,C01,20100
0160322409,1,03,1,5,C06,6000
0160322409,1,03,1,5,C00,149655
0160322409,1,03,1,5,C08,100000
0160322409,1,03,1,5,C09,6000
0160322409,1,03,1,5,C10,15000
0160322409,1,03,1,5,C11,2555
0160323511,1,01,1,4,B07,43500
0160323511,1,01,1,4,B00,45100
0160323511,1,01,1,4,B06,1600
0160324201,1,01,1,4,B00,6300
0160324201,1,01,1,4,B02,5500
0160324201,1,01,1,4,B07,800
0160324409,1,01,2,5,C09,1200
0160324409,1,01,2,5,C10,3180
0160324409,1,01,2,5,C08,15050
0160324409,1,01,2,5,C00,19430
0160324409,1,01,2,4,B15,8400
0160324409,1,01,2,4,B07,5260
0160324409,1,01,2,4,B06,10000
0160324409,1,01,2,4,B00,23660
0160325608,1,01,1,4,B11,2000
0160325608,1,01,1,4,B21,5400
0160325608,1,01,1,4,B10,2000
0160325608,1,01,1,4,B09,15600
0160325608,1,01,1,4,B06,10400
0160325608,1,01,1,4,B02,12000
0160325608,1,01,1,4,B00,49400
0160325608,1,01,1,4,B04,2000
0160327816,1,01,1,5,C01,1500
0160327816,1,01,1,5,C00,1500
0160329614,1,01,1,4,B15,218400
0160329614,1,01,1,4,B00,370400
0160329614,1,01,1,4,B01,30000
0160329614,1,01,1,4,B04,20000
0160329614,1,01,1,4,B06,52000
0160329614,1,01,1,4,B10,28000
0160329614,1,01,1,4,B09,10000
0160329614,1,01,1,4,B11,12000
0160330507,1,01,1,4,B00,5000
0160330507,1,01,1,4,B02,1000
0160330507,1,01,1,4,B07,4000
0160331410,1,02,1,5,C08,137520
0160331410,1,02,1,5,C09,1050
0160331410,1,02,1,5,C00,138860
0160331410,1,02,1,5,C12,290
0160333203,1,01,1,5,C01,60000
0160333203,1,01,1,5,C00,130600
0160333203,1,01,1,5,C06,9600
0160333203,1,01,1,5,C08,25000
0160333203,1,01,1,5,C10,6000
0160333203,1,01,1,5,C13,30000
0160333411,1,01,2,4,B05,5000
0160333411,1,01,2,5,C10,2000
0160333411,1,01,2,5,C08,62400
0160333411,1,01,2,5,C07,294000
0160333411,1,01,2,5,C00,358400
